Dealer Code,Name,City,State,Pincode,Fuel Price,Latitude,Longitude
145725,SHYAM KAMAL FILLING STATION,AGRA,Uttar Pradesh,282004,87.59,27.196035,78.021979
145727,RAJEEV FILLING STATION,ISLAMNAGAR,Uttar Pradesh,243723,87.85,28.336441,78.733419
145731,ABHISHEK FILLING STATION,BAHBHNAN,Uttar Pradesh,272161,88.19,26.928216,82.508605
145732,MA MANOKAMNA FILLING STATION,DEORIA,Uttar Pradesh,274001,87.62,26.460123,83.799167
145738,KDMP BULK CARRIERS,ADESAR,Gujarat,370155,91.03,23.570917,70.989306
145740,M.S.M. FUEL SERVICE STATION,PUTTUR,Andhra Pradesh,517583,97.57,13.459465,79.546848
145744,RAMS FUEL STATION,KUPPUM,Andhra Pradesh,517425,98.29,12.754656,78.351458
145746,OSIYAN FILLING STATION,JODHPUR,Rajasthan,342303,90.66,26.717825,72.9172
145779,MARWAR FUEL CENTRE,PALI,Rajasthan,306001,90.62,25.605958,73.625591
145782,SHRI KANHAIYA FILLING STATION,KHANPUR,Rajasthan,326038,90.61,24.743957,76.394098
145788,RAJA FILLING STATION,KAKINADA,Andhra Pradesh,533002,97.71,16.927162,82.234924
145789,SUNRISE INDUSTRIAL FILLING CENTRE,MADUTURU,Andhra Pradesh,531020,96.39,17.574566,83.001452
145790,S.S. AGENCIES,CHIRALA TOWN,Andhra Pradesh,523155,97.12,15.829686,80.353302
145793,BORIWAL FILLING STATION,CHITTORGARH,Rajasthan,312207,89.98,24.937882,74.533932
145794,MANGALAM FILLING STATION,KANKROLI,Rajasthan,313324,90.7,25.078936,73.938137
145795,SHIV SHAKTI PETROLEUM,JYOTISAR,Haryana,136119,87.95,29.957952,76.748966
145796,CHAUDHARY FILLING STATION,ROOPNAGAR,Punjab,140001,88.22,30.974906,76.521206
145805,THOOTHUKUDI LORRY OWNERS ASSOCIATE,TUTICORIN,Tamil Nadu,628001,92.77,8.866516,78.115465
145810,BAANDAL PETROLEUM,LONIKAND,Maharashtra,412207,90.43,18.612224,74.017912
145819,MAA FUEL CENTRE,BALICHANDRAPUR,Odisha,754205,92.67,20.611829,86.243871
145821,NATRAJ FUEL POINT,MYSORE,Karnataka,570017,90.6,12.334506,76.593618
145826,MANISH GOYAL,JOURA,Madhya Pradesh,476221,92.05,26.342153,77.788739
145837,SHRI RAMDEOBABA PETROEUM SERVICES,PUSAD,Maharashtra,445204,92.0,19.913696,77.570647
145845,AKSHARA ENTERPRISES,JAGGANAPETA,Andhra Pradesh,533247,97.46,16.497629,81.883386
145847,RAGHAV FUELS,SUNDERGARH,Odisha,770020,92.83,22.089237,84.039224
145848,ANAND FILLING STATION,BAREILLY,Uttar Pradesh,243501,88.02,28.482822,79.284322
145849,RAJ PETROLEUM,CHOTILA,Gujarat,363520,90.3,22.421221,71.184052
145851,BALAJI FILLING STATION,VILLAGE DADWADA,Rajasthan,341001,90.92,26.791849,73.833086
145852,POOJA FUEL CENTER,BARMER,Rajasthan,344033,91.28,25.583609,71.939318
145853,B.P. FUEL,JODHPUR,Rajasthan,342301,91.42,27.100403,72.345743
145854,UMRAIN SALES,UMRAIN,Uttar Pradesh,206252,88.59,26.927728,79.352568
145855,SAINI FILLING STATION,NAWANSHAHR,Punjab,144512,87.64,31.186828,76.073782
145856,JAIN FILLING STATION,BAGLIKALAN,Punjab,141412,87.86,30.768277,76.146
145857,RAJIV AUTO POWER,GAGGAR MAJRA,Punjab,141412,87.86,30.74176,76.137019
145862,MODI FILLING STATION,TAHASIL. TALCHER,Odisha,759116,94.05,20.915011,85.156596
145863,SARATHI FUELS,KANIHIA,Odisha,759117,94.24,21.075938,85.076975
145864,AMICHAND FUEL CENTRE,NIHAL SINGH WALA,Punjab,142055,87.84,30.575106,75.307114
145865,SRI JAYALAKSHMI AGENCIES,POTHAVARAM,Andhra Pradesh,534176,97.3,17.004106,81.408353
145867,KALER FILLING STATION,KALER,Punjab,151203,87.86,30.711175,74.833934
145871,SHUBAM PETROL DEPOT,MAHALUNGE,Maharashtra,410501,90.64,18.753519,73.800278
145872,BAITARANI FILLING STATION,CHANDBALI,Odisha,756133,93.69,20.775857,86.74942
145874,"SRI VENKATESWARA AGENCIES, ADDANKI",ADDANKI,Andhra Pradesh,523201,96.88,15.794878,79.980821
145875,PREM FILLING STATION,"DHIOLI,MARENA",Rajasthan,328028,90.78,26.79181,78.021741
145895,SANTOSH A JAGTAP,WADWANI,Maharashtra,413207,92.01,18.994305,76.034907
145896,SADHANA YATAYAT,ARRAH,Bihar,802301,92.23,25.57964,84.674923
